subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
35,0,fwb,guilt,NoInvest4Needs,21,17750.00799,19487.32719,patient,usa
35,0,fwb,guilt,NoTimeCompany,25,16358.29797,17990.77938,patient,usa
35,0,fwb,guilt,ExpressDisagree,36.5,14322.14874,16798.25668,patient,usa
35,0,fwb,guilt,RefuseTaskInstruct,30,14875.77447,17603.64156,patient,usa
35,0,fwb,guilt,PursueOwnAction,25.5,14968.67611,17685.5195,patient,usa
35,0,fwb,guilt,AvoidSex,0,14239.69331,15363.36886,patient,usa
35,0,fwb,guilt,DateOthers,7,16840.51005,18607.28419,patient,usa
35,0,fwb,guilt,InvestRelationship,17,17355.41109,18125.97917,patient,usa
35,0,fwb,guilt,NoShareReward,0,16833.14801,18487.92869,patient,usa
35,0,fwb,guilt,RefuseCompensation,23,10290.93568,11262.78312,patient,usa
35,0,fwb,guilt,NoCompensate4Help,46,14094.84423,15187.26629,patient,usa
38,0,housemate,guilt,ComplainTroubles,5,12903.50363,14427.54241,patient,usa
38,0,housemate,guilt,NoInvest4Needs,0,15179.14423,16790.22063,patient,usa
38,0,housemate,guilt,NoTimeCompany,0,13876.29736,15515.91841,patient,usa
38,0,housemate,guilt,ExpressDisagree,0,13152.43438,15103.11419,patient,usa
38,0,housemate,guilt,RefuseTaskInstruct,0,14202.76214,16313.4933,patient,usa
38,0,housemate,guilt,PursueOwnAction,0,14062.94773,16176.04581,patient,usa
38,0,housemate,guilt,AvoidSex,0,8578.461149,11548.08723,patient,usa
38,0,housemate,guilt,DateOthers,0,12315.06713,15068.84187,patient,usa
38,0,housemate,guilt,InvestRelationship,0,12683.82125,16297.9113,patient,usa
38,0,housemate,guilt,NoShareReward,0,14486.22202,17333.42961,patient,usa
38,0,housemate,guilt,RefuseCompensation,12.5,8175.874909,11021.83508,patient,usa
38,0,housemate,guilt,NoCompensate4Help,0,11629.61519,14508.84702,patient,usa
39,100,parentchild,guilt,ComplainTroubles,65,17054.67091,17183.20313,patient,usa
39,100,parentchild,guilt,NoInvest4Needs,55,20254.76659,20103.02025,patient,usa
39,100,parentchild,guilt,NoTimeCompany,50,18568.05463,18514.14294,patient,usa
39,100,parentchild,guilt,ExpressDisagree,50,15768.63941,17008.19792,patient,usa
39,100,parentchild,guilt,RefuseTaskInstruct,32.5,16114.48674,17732.94676,patient,usa
39,100,parentchild,guilt,PursueOwnAction,60,16318.73407,17846.136,patient,usa
39,100,parentchild,guilt,AvoidSex,0,15975.8681,15630.41377,patient,usa
39,100,parentchild,guilt,DateOthers,0,18925.98752,18981.54456,patient,usa
39,100,parentchild,guilt,InvestRelationship,0,18135.50369,18133.01968,patient,usa
39,100,parentchild,guilt,NoShareReward,60,17746.8323,18546.92593,patient,usa
39,100,parentchild,guilt,RefuseCompensation,44.5,9953.391473,10949.61458,patient,usa
39,100,parentchild,guilt,NoCompensate4Help,0,14408.81171,15084.20197,patient,usa
40,50,teach,guilt,ComplainTroubles,0,13250.89674,13464.25104,patient,usa
40,50,teach,guilt,NoInvest4Needs,2.5,15320.72711,15651.0526,patient,usa
40,50,teach,guilt,NoTimeCompany,0,14098.48038,14427.2599,patient,usa
40,50,teach,guilt,ExpressDisagree,4,14375.69537,14146.27708,patient,usa
40,50,teach,guilt,RefuseTaskInstruct,0,15686.55432,15258.2151,patient,usa
40,50,teach,guilt,PursueOwnAction,0,15501.73686,15142.56563,patient,usa
40,50,teach,guilt,AvoidSex,0,9007.2328,10350.73073,patient,usa
40,50,teach,guilt,DateOthers,0,12933.55396,13811.09167,patient,usa
40,50,teach,guilt,InvestRelationship,0,13181.17714,14305.84531,patient,usa
40,50,teach,guilt,NoShareReward,0,15403.90667,15677.87448,patient,usa
40,50,teach,guilt,RefuseCompensation,0,9260.780099,9622.836979,patient,usa
40,50,teach,guilt,NoCompensate4Help,0,12450.52889,12882.23646,patient,usa
43,0,fwb,guilt,ComplainTroubles,41.5,15020.9117,16715.50668,patient,usa
43,0,fwb,guilt,NoInvest4Needs,50,17750.00799,19487.32719,patient,usa
43,0,fwb,guilt,NoTimeCompany,31.5,16358.29797,17990.77938,patient,usa
43,0,fwb,guilt,ExpressDisagree,34.5,14322.14874,16798.25668,patient,usa
43,0,fwb,guilt,RefuseTaskInstruct,48,14875.77447,17603.64156,patient,usa
43,0,fwb,guilt,PursueOwnAction,42,14968.67611,17685.5195,patient,usa
43,0,fwb,guilt,AvoidSex,50,14239.69331,15363.36886,patient,usa
43,0,fwb,guilt,DateOthers,49.5,16840.51005,18607.28419,patient,usa
43,0,fwb,guilt,InvestRelationship,56,17355.41109,18125.97917,patient,usa
43,0,fwb,guilt,NoShareReward,51,16833.14801,18487.92869,patient,usa
43,0,fwb,guilt,RefuseCompensation,62.5,10290.93568,11262.78312,patient,usa
43,0,fwb,guilt,NoCompensate4Help,56,14094.84423,15187.26629,patient,usa
44,99,closefr,guilt,ComplainTroubles,50,13009.91679,14568.86428,patient,usa
44,99,closefr,guilt,NoInvest4Needs,16.5,15527.707,17063.08669,patient,usa
44,99,closefr,guilt,NoTimeCompany,30.5,14196.68907,15676.41109,patient,usa
44,99,closefr,guilt,ExpressDisagree,41.5,12308.92078,14736.28943,patient,usa
44,99,closefr,guilt,RefuseTaskInstruct,34.5,13006.9719,15676.13012,patient,usa
44,99,closefr,guilt,PursueOwnAction,16,12966.87512,15634.17946,patient,usa
44,99,closefr,guilt,AvoidSex,0,10146.08006,11569.16166,patient,usa
44,99,closefr,guilt,DateOthers,0,13179.89377,15078.92277,patient,usa
